CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Adams,2018,127,27706,4.583844654587454,-2.912,,,,
Allen,2018,352,101603,3.464464631949844,-4.4707,,,,
Ashland,2018,80,53040,1.5082956259426847,-0.527,,,,
Ashtabula,2018,415,96549,4.298335560181877,-4.7868,,,,
Athens,2018,149,64943,2.294319634140708,-0.3529,,,,
Auglaize,2018,145,45496,3.1870933708457887,-0.8759,,,,
Belmont,2018,84,65952,1.2736535662299855,-6.2289,,,,
Brown,2018,159,43156,3.684308091574752,-3.8049,,,,
Butler,2018,1861,385402,4.828724293075801,4.4161,,,,
Carroll,2018,50,26578,1.881255173451727,-7.8624,,,,
Champaign,2018,126,39085,3.2237431239605985,-2.4777,,,,
Clark,2018,737,133193,5.533323823324048,-3.6746,,,,
Clermont,2018,819,208232,3.9331130661953977,5.3784,,,,
Clinton,2018,211,41734,5.055829779077012,-0.4485,,,,
Columbiana,2018,372,100703,3.694030962334786,-6.6614,,,,
Coshocton,2018,124,36608,3.387237762237762,-0.8934,,,,
Crawford,2018,90,41514,2.1679433444139327,-5.1195,,,,
Cuyahoga,2018,4525,1221780,3.703612761708327,-4.4058,,,,
Darke,2018,130,50741,2.562030704952602,-4.1954,,,,
Defiance,2018,96,38083,2.520809810151511,-2.5562,,,,
Delaware,2018,291,217349,1.3388605422615243,24.1292,,,,
Erie,2018,274,73772,3.714146288564767,-4.1648,,,,
Fairfield,2018,448,160758,2.7867975466228745,9.7946,,,,
Fayette,2018,171,28269,6.0490289716650745,-2.5677,,,,
Franklin,2018,4004,1334870,2.999543026661772,14.4632,,,,
Fulton,2018,109,41844,2.6049134881942453,-1.8415,,,,
Gallia,2018,136,29804,4.5631458864581935,-4.0808,,,,
Geauga,2018,130,93057,1.3969932407019354,-0.3555,,,,
Greene,2018,598,171919,3.4783822614138056,6.3934,,,,
Guernsey,2018,157,38603,4.067041421651167,-3.865,,,,
Hamilton,2018,3296,821529,4.01203122470418,2.3995,,,,
Hancock,2018,195,75509,2.582473612417063,1.0979,,,,
Hardin,2018,77,31259,2.463290572315173,-2.7018,,,,
Harrison,2018,23,14786,1.5555254970918435,-6.5656,,,,
Henry,2018,49,26836,1.8259055000745268,-4.7389,,,,
Highland,2018,169,43379,3.895894326747965,-0.5548,,,,
Hocking,2018,83,28078,2.9560510007835314,-4.7493,,,,
Holmes,2018,31,44042,0.7038735752236501,3.6941,,,,
Huron,2018,247,58070,4.253487170656105,-2.5017,,,,
Jackson,2018,138,32507,4.245239486879749,-2.2287,,,,
Jefferson,2018,304,64427,4.71851863349217,-7.5255,,,,
Knox,2018,138,63166,2.184719627647785,3.3983,,,,
Lake,2018,752,230243,3.266114496423344,0.0996,,,,
Lawrence,2018,9,58855,0.1529181887690086,-5.7174,,,,
Licking,2018,418,179254,2.3318865966728777,7.5277,,,,
Logan,2018,129,46352,2.7830514325163964,1.3314,,,,
Lorain,2018,998,311395,3.2049326418214807,3.2895,,,,
Lucas,2018,1931,425820,4.534779953971162,-3.5371,,,,
Madison,2018,146,45415,3.2147968732797536,4.5609,,,,
Mahoning,2018,895,227617,3.932043740142432,-4.5155,,,,
Marion,2018,421,64425,6.534730306558013,-3.0591,,,,
Medina,2018,365,181282,2.013437627563685,5.0855,,,,
Meigs,2018,97,22593,4.293365201611119,-4.7954,,,,
Mercer,2018,68,41612,1.6341439969239642,2.0202,,,,
Miami,2018,368,108877,3.379960873279021,6.2349,,,,
Monroe,2018,16,13388,1.1951000896325066,-8.3579,,,,
Montgomery,2018,2361,531861,4.439129772628562,-0.6975,,,,
Morgan,2018,41,14362,2.854755605068932,-4.4699,,,,
Morrow,2018,123,35758,3.4397896974103697,2.7824,,,,
Muskingum,2018,249,86383,2.8825116052927084,0.196,,,,
Noble,2018,31,14578,2.12649197420771,-0.5593,,,,
Ottawa,2018,113,40037,2.822389289906836,-3.1964,,,,
Paulding,2018,40,18532,2.158428663932657,-5.2411,,,,
Perry,2018,74,36324,2.03722057042176,0.7964,,,,
Pickaway,2018,177,59217,2.989006535285476,6.2379,,,,
Pike,2018,96,27452,3.4970129680897566,-4.0542,,,,
Portage,2018,334,162394,2.056726233727847,0.6246,,,,
Preble,2018,136,40624,3.34777471445451,-3.6661,,,,
Putnam,2018,38,33979,1.1183377968745405,-1.4416,,,,
Richland,2018,481,121488,3.959238772553668,-2.1536,,,,
Ross,2018,381,76230,4.998032270759544,-2.3919,,,,
Sandusky,2018,154,58074,2.6517890966697664,-4.6169,,,,
Scioto,2018,366,74982,4.881171481155477,-5.8772,,,,
Seneca,2018,223,55146,4.043810974504043,-2.5999,,,,
Shelby,2018,162,48526,3.3384165189795163,-1.6677,,,,
Stark,2018,922,369322,2.496466498069436,-1.6117,,,,
Summit,2018,1849,540333,3.4219638630252085,-0.2422,,,,
Trumbull,2018,645,196844,3.2767064274247626,-6.1933,,,,
Tuscarawas,2018,241,91803,2.625186540744856,-0.7996,,,,
Union,2018,111,61400,1.807817589576548,17.0326,,,,
Van Wert,2018,78,28319,2.75433454571136,-1.2518,,,,
Vinton,2018,35,12965,2.699575780948708,-3.2824,,,,
Warren,2018,601,239916,2.5050434318678203,12.4102,,,,
Washington,2018,152,59511,2.554149653005327,-3.5681,,,,
Wayne,2018,266,115550,2.302033751622674,1.0105,,,,
Williams,2018,122,36598,3.333515492649872,-2.4366,,,,
Wood,2018,272,131569,2.0673562921356856,4.4613,,,,
Wyandot,2018,50,21480,2.3277467411545625,-4.9053,,,,
Adams,2019,105,27706,3.789792824658919,-2.912,147.0,5.305709954522486,0.0,0.0
Allen,2019,332,101603,3.2676200505890574,-4.4707,98.0,0.9645384486678544,11.0,0.10826451974843262
Ashland,2019,61,53040,1.1500754147812973,-0.527,74.0,1.3951734539969831,0.0,0.0
Ashtabula,2019,461,96549,4.774777574081554,-4.7868,334.0,3.4593833183150524,17.0,0.1760763964411853
Athens,2019,143,64943,2.2019309240410823,-0.3529,110.0,1.69379301849314,11.0,0.16937930184931402
