CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Summit,2020,1521,540333,2.8149307926778486,-0.2422,1907.0,3.5293050766841927,102.0,0.1887724791933863
Trumbull,2020,1098,196844,5.578021174127736,-6.1933,1005.0,5.105565828778119,41.0,0.20828676515413222
Tuscarawas,2020,273,91803,2.973759027482762,-0.7996,254.0,2.7667941134821303,11.0,0.11982179231615525
Union,2020,80,61400,1.3029315960912051,17.0326,60.0,0.977198697068404,0.0,0.0
Van Wert,2020,65,28319,2.2952787880928,-1.2518,,,0.0,0.0
Vinton,2020,61,12965,4.704974932510606,-3.2824,57.0,4.396451986116468,0.0,0.0
Warren,2020,543,239916,2.2632921522532885,12.4102,368.0,1.533870187899098,32.0,0.133380016339052
Washington,2020,146,59511,2.453327956176169,-3.5681,115.0,1.932415855892188,11.0,0.18483977752012232
Wayne,2020,300,115550,2.5962786672436176,1.0105,303.0,2.622241453916053,24.0,0.2077022933794894
Williams,2020,108,36598,2.9509809279195585,-2.4366,12.0,0.3278867697688398,0.0,0.0
Wood,2020,277,131569,2.1053591651528856,4.4613,308.0,2.340976977859526,11.0,0.08360632063784022
Wyandot,2020,46,21480,2.141527001862197,-4.9053,32.0,1.48975791433892,0.0,0.0
